maxint,meanint,maxf1,meanf1,maxf2,meanf2,dx
83.92397947246903,71.58176513296846,2226.932390124277,773.8668829603519,3967.1723324349045,1801.6519252692144,0
86.1297071207297,72.52619300940238,2930.52973010279,1246.5131623479483,4107.2367348924245,2422.4374510661687,0
78.9606320759286,66.72078191428201,2622.938312051847,822.5878773522485,4120.452015526387,1957.9316441341437,0
83.50135851323925,74.09403288787301,2850.875479613872,696.6284952350377,4132.153166891906,1916.040737258002,0
83.84476462237565,74.40386782093853,2978.9752572983093,759.6180404145752,3880.324436032425,2116.4832965675105,0
82.42799888802436,71.54026619968985,2799.458702085996,681.8900588821101,3937.6398478762285,1941.2654706969795,0
80.53393502808582,68.47540191305197,3090.5899528896957,664.5407309699932,4210.227531547617,1879.9232082587819,0
81.5963764140276,65.13914367367369,2497.602056579923,871.5125091308997,3333.2167070990267,2066.591151520334,0
81.61349501880484,69.46899929364474,2270.371069911398,734.6655876782276,3458.732116229722,1926.2591185793867,0
81.08561542623816,68.84755461969951,2906.479773830976,844.3414165973749,4194.1051723850205,1979.367369326982,0
86.26749506525165,77.50263626052501,2381.6148083583007,815.2527454688964,3468.5660076249433,1927.7620671835282,0
84.62563795630301,71.67425138850399,2423.825452433858,621.5488740494715,3850.4791107271594,1919.9401791904547,0
83.05007222040662,69.7735481572715,2314.3210670438875,599.1277272720838,3713.7973996259902,1839.3219058347652,0
81.79540025952,71.36301057025227,3241.726686618614,832.7193751808462,4187.7343224988235,2070.914246765802,0
81.77914258624556,69.59153081457153,3014.879989450848,773.5643948187131,3789.6654959525054,2019.2220222626713,0
80.96407989802748,67.19532108845372,3059.7531620178684,1248.078963840838,4100.50979214107,2394.236202667278,0
83.10714905108979,71.62101578031367,3014.8349325016875,868.4997068463592,3756.5794081166773,2040.3020662552406,0
80.90279159876354,70.39352326252073,2666.3601963903875,706.546090038573,3634.20483915683,1916.3915414682604,0
80.14365198049968,67.03946581727539,2885.6869555860894,842.735780577814,3989.064358957759,2031.1463565305294,0
83.48628928240984,72.42685878724929,2660.817066305497,624.211987307399,4023.9606598875316,1793.2855858510934,0
79.56033769129523,67.92785063263787,2932.1006485002113,899.2690953106363,4012.215526637024,2110.1047443939206,1
81.72147518354942,66.14613576819455,2201.5097825252183,738.4926647355319,3386.2449359380207,1789.6816169498604,1
83.75307974221707,70.76075867514804,2632.772721151944,906.2255393451986,3825.1942885029125,2001.740829363757,1
84.05100361502812,67.52287272723473,3029.111042184184,826.737221832819,3411.313528095486,2100.3484105845987,1
84.92693146613145,71.22448040885507,3182.8678647869388,693.5207115404581,3810.3716925509066,1991.6811362872575,1
82.96398802770726,70.76102470863539,2515.8816014398662,754.7810778262953,3979.453549119985,2031.4458624526835,1
85.67293337843822,65.60709649032746,2336.6955332043904,733.7105051194477,3339.0560013727963,1837.2055552406002,1
79.8499973991117,69.16363708566573,2734.4007668703307,837.7047653412614,3473.2780294499603,1992.3042993247784,1
81.14449613165084,66.8978890857645,2917.2376156141017,819.5690492548077,4020.504061112456,2011.4258224278685,1
84.74872907149094,73.24267381442539,2710.145377215577,973.220610948292,3978.102058047745,2154.362394237885,1
85.28972972613411,69.46094762310304,2784.6424923450027,791.1269203770416,3980.89228804536,2045.5039170047635,1
84.60451659411244,74.19794698323648,2509.2536249980812,803.8274259896307,4114.0577587262005,1987.795762856702,1
84.01204500485528,72.79338368651108,3021.187920593136,685.9738383681312,3904.414328644374,1928.0895848044688,1
81.66585190323276,70.75573885738726,3060.7068460377914,711.4154339830535,4044.4577873304434,1985.2626956114789,1
81.34611488068067,68.07333257536439,3304.761610894354,932.6870045933198,3993.816247769263,2027.1823741601384,1
83.89880815018069,67.93977869461179,2943.899430429406,860.6040491475698,3972.7987282880185,1811.8690840901106,1
83.49612440408917,69.82466728363274,2775.9128300472853,704.6569067076902,3961.5938204954646,1882.4002558935867,1
86.18524927699771,74.50569400020284,2864.7198153830072,1045.2113534931746,3868.852204269425,2185.6148947464935,1
81.41584563711722,68.62777999721695,2737.931134810362,780.6413556587316,3972.6357706860204,1966.2551677208965,1
81.89283860559613,69.21760769040893,2723.7690805456737,923.4796837012691,3768.656157872063,2133.165135159678,1
