maxint,minint,meanint,maxf1,meanf1,maxf2,meanf2,maxf0,minf0,meanf0,jitter,shimmer,maxhnr,minhnr,meanhnr,dx
83.92397947,-1.106610514,71.58176513,2226.93239,773.866883,3967.172332,1801.651925,514.7375008,66.17947038,172.4472582,0.007614604,0.117607635,44.80910466,-227.2771261,10.44015519,0
86.12970712,41.55964478,72.52619301,2930.52973,1246.513162,4107.236735,2422.437451,604.7026413,74.9547691,259.2497343,0.009553045,0.204110609,46.23720225,-228.5149304,5.201708455,0
78.96063208,33.95436368,66.72078191,2622.938312,822.5878774,4120.452016,1957.931644,593.5412497,74.43924054,120.0905149,0.013621175,0.129732711,41.6150407,-227.0470043,7.845682785,0
83.50135851,-4.468975977,74.09403289,2850.87548,696.6284952,4132.153167,1916.040737,588.6657048,84.79882601,197.4424931,0.010290363,0.089044989,45.27586937,-227.3773949,11.33781439,0
83.84476462,56.62663326,74.40386782,2978.975257,759.6180404,3880.324436,2116.483297,592.2190329,73.66758549,180.912475,0.007171589,0.146096097,48.60015917,-228.0865461,3.869466495,0
82.42799889,-0.762705922,71.5402662,2799.458702,681.8900589,3937.639848,1941.265471,170.3777546,74.79858606,91.59892455,0.015605843,0.131094593,39.09531573,-226.8340878,6.370570599,0
80.53393503,-1.603705366,68.47540191,3090.589953,664.540731,4210.227532,1879.923208,598.188224,75.06929471,129.468458,0.009238697,0.13986518,44.88665583,-227.0776023,8.491898742,0
81.59637641,38.54184963,65.13914367,2497.602057,871.5125091,3333.216707,2066.591152,592.2306995,66.63712331,92.40839438,0.014209877,0.146579041,43.29611222,-227.0683777,4.266313759,0
81.61349502,-6.889747573,69.46899929,2270.37107,734.6655877,3458.732116,1926.259119,473.5384345,85.47380514,236.8167784,0.006938345,0.107249671,42.5857134,-227.0711061,10.06673945,0
81.08561543,41.68613573,68.84755462,2906.479774,844.3414166,4194.105172,1979.367369,163.9345663,74.35180696,96.05943568,0.017500067,0.153032687,39.00177343,-226.248742,5.362399596,0
86.26749507,-4.251196755,77.50263626,2381.614808,815.2527455,3468.566008,1927.762067,573.0556303,74.30762588,104.7535829,0.018826387,0.132129914,48.18550165,-227.6435858,5.696080866,0
84.62563796,-1.400272463,71.67425139,2423.825452,621.548874,3850.479111,1919.940179,577.1030463,75.23475707,219.9161259,0.007353939,0.122148261,37.13459848,-227.0856916,11.78894133,0
83.05007222,46.87556156,69.77354816,2314.321067,599.1277273,3713.7974,1839.321906,535.3103573,76.26448282,208.2987564,0.006153944,0.150542579,36.97488014,-226.7009408,10.59471532,0
81.79540026,19.03174815,71.36301057,3241.726687,832.7193752,4187.734322,2070.914247,598.4641103,74.58613338,117.9458251,0.02076073,0.14676779,37.62344258,-227.0114087,5.544251251,0
81.77914259,4.777501417,69.59153081,3014.879989,773.5643948,3789.665496,2019.222022,273.1014341,89.89307901,187.127986,0.006951513,0.089522824,45.60540934,-227.7530766,11.89565645,0
80.9640799,31.8905023,67.19532109,3059.753162,1248.078964,4100.509792,2394.236203,546.2425329,74.55277689,92.27484616,0.017699042,0.135967977,36.52999431,-226.6331809,3.023961337,0
