maxint,minint,meanint,maxf1,minf1,meanf1,maxf2,minf2,meanf2,maxf0,minf0,meanf0,jitter,shimmer,maxhnr,minhnr,meanhnr,dx
79.92713723,45.71747483,73.01515544,1659.291965,145.5281817,580.0090678,2822.126114,261.8374633,1782.485716,252.6464671,230.5808683,239.1154781,0.003276074,0.074198822,25.0040743,-225.6935274,15.51298667,0
83.75023345,47.94131567,78.28523888,1448.481136,83.09172963,903.4649202,2771.23077,938.7829356,1357.832908,220.8590288,201.9887414,208.5378891,0.004628341,0.062226501,21.18502137,-226.1185458,11.91204719,0
80.49803302,46.08742501,75.12796508,1258.759308,523.8051169,890.7643535,3002.205307,665.8999554,1495.427503,208.79188,154.5382993,178.0310235,0.007283523,0.115699149,30.28607337,-225.6006373,9.738515437,0
82.04685693,48.51187839,76.46240137,1354.605105,719.1205384,950.2254888,2037.069718,1357.711463,1620.117048,196.4458313,188.1845493,192.4277503,0.002858841,0.152551397,13.89736248,-225.3932954,8.53004524,0
77.97096211,64.91294095,75.092403,785.0281259,424.2249048,494.935804,1955.959619,1294.915169,1463.596749,242.9282768,218.2209648,233.7148672,0.005951496,0.130280132,18.98431527,-200,13.23111284,0
76.28915994,61.46453488,70.66713772,1639.737593,312.856525,608.4214347,3380.500061,1466.298553,2063.468283,242.0204534,214.3703329,230.6022017,0.009103363,0.117078475,30.79836361,-225.9320743,8.111848928,0
75.64179692,58.53118615,71.80431138,1133.282577,140.597048,430.7653534,2801.516024,881.9466464,1557.051874,229.8149908,176.6436477,199.7040445,0.00651665,0.112133315,36.76447694,-226.3424307,14.57388428,0
72.13270059,58.43060411,68.86225823,1389.032781,238.1239382,681.990482,3343.389217,306.7467735,1918.252878,190.7115225,175.171276,182.779296,0.004993897,0.086384983,20.26417521,-226.347722,17.13300514,0
74.361115,45.81370334,70.06898878,1537.39964,175.4822232,663.9375971,3002.574756,379.7645049,1571.070462,199.0314881,170.541034,177.172351,0.005076737,0.079005872,28.42977128,-225.7067772,15.81545777,0
72.22243821,48.28227795,66.66674804,1369.561097,297.8079336,661.2547393,2080.105606,1333.774381,1650.344078,175.2990519,166.9771975,170.9271678,0.007373249,0.146657998,12.77853828,-226.1118357,9.693829897,0
74.08664314,56.24220837,70.91324668,1061.112394,501.9419935,670.9190404,2271.352509,1192.656408,1495.100925,176.0440711,156.6730272,165.6374356,0.007664076,0.114126094,15.14329602,-200,11.84412234,0
72.53332895,49.53836651,67.44731377,1413.972167,324.790914,659.9436474,2526.560524,1307.463062,1558.73518,194.8397439,155.8211689,165.2695514,0.010129513,0.074022974,23.05970364,-226.328366,12.41172411,0
69.20999906,67.15318743,68.31366468,513.9301161,332.0541124,452.839251,1811.499402,1383.062734,1666.619594,166.1986518,161.9455892,165.2145833,0.002945342,0.154274201,17.4693816,10.10207913,14.18947497,0
74.47701778,50.25219156,70.26046452,1395.974356,371.7534711,816.0777831,3050.88826,1025.115517,1594.35698,209.7774361,146.6131152,170.9263291,0.010559813,0.071549037,30.46121418,-226.2627599,6.891057327,0
79.43550622,54.76096729,71.99937004,1382.393994,348.6747763,799.0221154,2345.024302,1342.724166,1976.485296,221.5876495,205.7994312,212.2468931,0.005365498,0.072589876,30.07003682,-226.443558,7.952226487,0
76.54936419,45.84696298,71.16708587,1369.787005,170.876586,677.0354168,3214.094493,1145.349208,1737.958044,201.2260177,167.0362511,185.4586525,0.004999489,0.089305703,30.42957967,-225.7059031,14.52015363,0
72.4185879,53.77025762,68.50695737,723.097679,502.1952123,578.8122363,1810.73941,1455.205094,1585.532712,167.0362511,150.8990301,158.7940494,0.014763267,0.253655575,32.0946859,-225.8718168,4.408648754,0
77.07248164,47.22945142,71.93471674,1371.214437,462.7816491,861.7835579,3065.160628,1255.309662,2006.816727,193.5474963,180.8647536,187.2403181,0.006526726,0.131165997,13.21020933,-225.9167062,6.659250135,0
77.08110721,48.26793934,72.32012322,1500.55384,95.90575026,881.9194586,3350.046856,919.5512611,2029.244721,213.9792424,189.9996123,195.2040341,0.004871143,0.131827491,19.52854069,-226.3500176,10.06299219,0
70.21488227,46.12502597,64.50161233,1177.591146,215.758546,612.1978377,2800.768632,606.3226163,1895.127257,194.9798088,143.5375757,152.72739,0.00966206,0.131514964,41.70921038,-226.3165167,11.69176154,0
82.18627782,45.76166217,78.07481911,1138.819873,593.9301669,884.4531697,2398.293787,929.1745535,1563.113731,204.5500945,187.3106826,193.947967,0.003475538,0.10456419,19.76541946,-226.1806125,12.38839573,0
76.20130926,45.84713034,69.59872998,1613.784632,205.0340577,804.1265626,2334.424761,1510.509206,2003.398105,240.60328,205.1552436,213.4321252,0.009663024,0.193742017,13.41056807,-226.0683037,8.705846514,0
79.25825836,52.44117595,75.00057555,1299.232004,228.3713683,886.9853303,3155.997953,968.6497299,1698.301151,203.4494434,162.2805718,173.1096003,0.005427082,0.100939331,34.13135569,-226.0894181,10.36004142,0
72.22023215,46.69788956,67.70324544,1329.537181,302.4706567,800.1617636,2860.425811,1377.77975,1953.562155,176.1602948,166.1257756,167.3986603,0.00451948,0.111146433,15.03059627,-226.5751689,11.91655494,0
76.73729974,45.80686145,72.89497544,1097.41532,280.3271156,500.8902957,3090.063341,1130.824758,1527.972998,203.2715436,177.621227,190.8633018,0.007914804,0.124700892,25.14141959,-226.130539,14.9286014,0
71.22433961,49.95618997,67.62818433,1297.967515,281.7978764,601.1449181,3293.024561,773.6915392,2377.936503,178.7379448,144.5005403,154.2405936,0.00924869,0.126021993,33.3094146,-226.4936414,10.57069647,0
73.29360862,49.41274036,69.86206956,1410.855378,149.1512432,655.7626475,3194.013137,790.5710762,2066.131427,180.8752798,161.4099663,166.5235651,0.008219519,0.182003956,15.14868229,-226.3104483,10.16319054,0
73.23493144,51.56338204,70.95605914,1843.865926,74.88297367,562.5776173,3041.901645,999.2169767,1880.879789,228.6017755,172.3208303,188.1141342,0.006713782,0.069043348,41.81070292,-226.2801141,15.21954826,0
72.67112865,47.08181128,67.78370821,1304.557643,209.2655693,956.3913001,3355.765806,951.7927736,1951.713367,179.0441404,157.1822575,161.8168178,0.006800892,0.1424188,29.54536853,-225.5263861,5.647493639,0
76.57367317,45.87017368,72.21304081,1218.648377,527.3505496,750.1085773,1873.542826,1034.919939,1341.360794,175.9641259,163.518598,169.0744942,0.007419805,0.104721708,8.830001985,-200,6.471803339,0
73.68090254,50.26140576,69.8452114,642.2549995,412.0873074,530.8497094,1986.316589,1161.763392,1395.40059,179.0638785,156.6608893,170.4478697,0.013108074,0.132465341,33.34154809,-226.0152771,9.050816707,0
76.1940165,46.92650867,70.49970982,1162.096387,448.6200962,657.9644791,2339.642611,1196.124228,1545.93987,159.976101,148.058713,151.3068261,0.004613594,0.172380756,11.04420359,-226.0679736,7.866032552,0
75.86189852,45.80464861,72.54781233,1272.610325,621.9579239,879.5868417,2271.268286,1153.315215,1365.783833,157.607762,66.38811078,115.8599363,0.017398978,0.1648555,25.52395951,-224.5299374,2.933773241,0
74.3938397,45.80243067,70.67527411,1107.124551,278.7558955,562.4568636,2605.327,1109.74974,2030.352166,172.7144753,152.9143096,166.5644086,0.011370135,0.070275353,22.12556121,-224.7480704,5.596011477,0
83.92938921,63.39838469,77.27961014,1051.577892,332.2396391,786.0263194,2745.659705,970.4157207,1575.915011,225.383412,80.02572237,168.5248686,0.031766302,0.108601749,22.95456589,-225.5694993,6.178345289,0
77.62029826,51.59706465,72.14400542,1136.67352,92.33205633,565.5941698,3388.285572,381.1203634,1884.576226,513.7576819,168.6022264,239.0997616,0.007400631,0.111712859,30.96743372,-226.026522,15.22686801,0
74.44583113,60.78773483,71.53818335,766.7053181,512.2567663,646.2529438,1874.024313,1407.7072,1734.421502,168.9083282,160.943735,165.6196543,0.018996485,0.047601372,7.213091238,-200.0007273,2.296447826,0
75.89248757,49.84634963,71.71484953,1357.369365,137.7392981,843.4010601,2828.808253,895.8104358,1672.157299,189.0342424,157.6990331,167.4902794,0.009083031,0.166284947,14.80351721,-225.9157839,7.406322177,0
79.48111071,48.06953274,71.55236413,1119.875385,448.4474753,889.8406543,2649.901652,1096.844088,1800.334464,216.8458879,166.0889471,177.5072228,0.01141319,0.267955175,31.63033433,-225.7598237,5.385851593,0
74.18159312,45.77244791,69.73085687,1166.332923,225.5333217,737.6434811,3337.673939,360.4818952,2194.350054,199.0541996,146.1096643,154.9600297,0.010749698,0.136535462,16.7410265,-226.4094815,12.39065144,0
75.49726284,65.59304525,72.18918028,843.209488,251.2700578,524.5796208,2519.952858,980.564355,1832.178351,157.5100633,143.0348259,152.7939752,0.009936186,0.190473195,14.37958318,-200,7.754150296,0
75.72619177,56.88043835,71.75058752,551.8286077,372.083684,474.3235075,2117.0018,1843.099675,1969.354211,156.9332308,147.840588,151.9937474,0.014623566,0.053693221,9.438319077,-225.5416819,7.238281021,0
77.05587155,45.8304651,74.05427846,1127.255602,170.3284684,472.3186827,3055.697093,891.9078631,1915.910585,187.9496098,178.2418532,182.6584276,0.003940266,0.089062314,22.66902793,-226.7673268,14.78104345,0
77.94312474,45.80597904,72.3335037,1236.473815,434.6085062,749.101741,3079.262611,891.0514694,1687.400738,200.431119,164.2764385,175.1957686,0.0080743,0.15618854,27.84682163,-225.287835,10.35505969,0
78.93589892,48.89183391,74.13008139,1289.431695,230.5157286,853.3495181,2513.99334,1029.275489,1552.25044,183.1335072,130.9119863,150.2322093,0.011590581,0.100161655,26.43671164,-226.15259,5.126940769,0
71.43459719,45.95543025,63.11104954,1275.883132,251.21225,890.2391295,2880.005108,1226.466292,1899.238099,193.3994518,160.7867026,169.6835106,0.034996085,0.304782745,3.504172674,-225.3858544,0.916153512,0
72.34395392,52.01314556,68.25869076,1132.614089,391.8295132,599.3792361,2413.89056,1957.282012,2193.000514,158.5007125,150.9172365,155.9664527,0.008634917,0.294744155,32.39343443,-225.8514665,5.125775161,0
